bin,ERR598944,ERR598958,ERR598964,ERR598985,ERR599047,ERR599166
NAT-79,27190.082799779935,1900055.999952656,44268.42984876614,28607.026875086198,50045.750899965744,25411.639898583733
NAT-8,22743274.82143153,57085742.03940604,2842339.6072804453,132420.6227271447,1263808.0178379556,2314902.1382598705
NAT-81,9713100.229072249,4210051.723501504,20816544.321542695,10130724.127666702,17980333.10201952,12712388.997904738
NAT-82,155898.680871542,85739.91262022831,234823.2791562346,1075578.9331780153,164291.10800601196,258358.13177568288
NAT-84,1009879.1968654933,86328.86996257698,3502823.700594146,4296801.295189728,4165526.589763389,8917183.749150442
NAT-85,8247790.1345412,4071893.00355688,6761013.428798116,1961621.0429952987,5901808.520289133,7056552.170997617
NAT-88,16704.67077732266,66855.86791371834,21028.334354660223,12708.368519439902,11713.98683443844,54590.5637830087
NAT-89,4485299.318510148,2781496.2909316085,2597075.9203125895,1495581.5933695978,1817258.3378588464,3735444.9231172632
NAT-9,14552071.132762322,6505614.265404702,14419696.062165495,881675.9658534672,14059424.589137197,12863250.325352004
NAT-90,57427.58194037739,97486.87223762996,40355.97866236427,20233.189889997284,14908.137074001032,134877.95606690436
NAT-91,21753986.56651975,5346357.956295027,18826331.99297307,12367783.579051081,5365078.143326752,7388391.175088543
NAT-92,8928585.409045871,12635106.220718985,16385065.18017316,14492793.052466515,16023946.0356824,8576825.716628896
NAT-94,77809.86840119387,37159.27216387246,36213.27853813103,162744.2609447106,110736.11952726716,32476.46876140005
NAT-96,27247.87757008394,1093336.217856711,28992.73785995382,15772.539876463752,19566.953048811396,29606.240896998297
deep-0008,2561841.6953610447,3333569.518146851,2811144.186042419,3010132.75911089,1847771.2371628457,655318.5506316527
deep-0011,5009071.0612508925,6323062.313895618,6026571.368044515,16539250.837325733,4608428.117120157,7440580.98352874
deep-0013,2004848.967235186,1751238.9278280742,2162299.7444784627,1619529.6240831134,1306147.8210669395,1259307.1781466655
deep-0018,1236793.9232929782,1454289.6063113336,1323913.877369918,2464016.345921516,905153.265855555,3036343.2408623816
deep-0019,1782954.20865498,2610896.561971844,2212224.525085364,4585969.624373595,1398821.5028042356,1357657.000364911
deep-0029,1801898.9949936105,1613444.642839488,1851501.090938873,4398543.157387799,1162610.9675434008,1211885.2046182957
deep-0035,633220.7648855298,630414.538692351,719309.6373387083,383136.4513051098,583981.419291186,448698.44994669495
deep-0036,4213282.367223488,5201947.942746542,5084415.1117733205,8160678.801451773,3214946.4765805868,4223999.052403898
deep-0044,5713076.541788973,8208312.360864916,3775550.4601495164,2941825.6389565556,2137956.639712761,1942423.605303351
deep-0045,2196913.04417709,1185492.980397256,1781102.291733085,1469151.1018657591,1314681.6001650796,1371615.403809239
deep-0047,1715321.597100413,2004219.7794898385,1839917.599372977,10110695.814957839,1430714.8888321829,2471434.477855375
deep-0050,2356258.492496759,2111531.930270633,2244846.2907888605,7413595.395287761,2262727.781281618,5999481.237434571
deep-0058,1713022.2191858469,2736275.255039734,2083833.66375714,14062136.69109904,1541301.2706884795,2549418.3879784695
deep-0064,2887263.8599544517,4003902.67165226,3376497.9064017264,5646118.017362332,1812349.792651026,1821686.1500150494
deep-0070,2039202.972867317,2122812.785551074,2906335.782416801,3533174.462753948,2116888.147483562,3609932.9938670006
deep-0077,2368004.997765363,739759.5150718031,1315519.234486427,985182.4806033162,837179.5618301866,990847.058477102
deep-0081,4639261.025692348,4289046.188995357,5624551.793111169,8264386.529822675,3981897.2959569376,10693817.11049612
deep-0093,1324886.7303431898,1760435.304467202,1351373.249986161,9193313.72221046,1072916.605204976,2026720.876909227
deep-0095,1210503.067273916,690185.3310538252,1343594.3551629456,1596276.1545260646,855645.3645625665,2681657.946534373
deep-0096,2399766.9984473307,978651.3668196249,1325856.8193288841,931143.8687303048,801498.9729117936,907044.7201017869
deep-0101,1106890.9109478043,783963.1223081626,1480895.9730146804,1374486.1541159586,995143.0931306392,2113599.92462294
deep-0102,2911969.9247278185,2988146.1599617177,4037360.6757993004,4652371.30809516,2831798.286819085,4957227.03726444
deep-0108,2019510.5088085586,2574078.633176929,2495697.153616147,3956421.1795643466,1997540.911425914,2026295.8491573404
deep-0122,4135659.3216570257,2970489.918450577,4614460.97795099,5116949.803475769,3568474.183767028,5532187.585853222
deep-0126,2543632.7486416665,1016408.6961347986,3427108.0919977073,5950932.911428366,2762110.408648597,5031487.350027134
deep-0127,5043473.4307911545,6927960.520198371,6703232.019478665,8614180.051831258,5412804.288810226,7617464.065497316
deep-0131,28308.604193075564,116937.0643374325,64036.766659179935,84794.60154246204,31858.174929058157,34196.9055990383
deep-0134,5653162.17883201,4400305.276107069,5822333.176750766,5701181.602458904,3563663.076763465,3148839.783931576
deep-0144,2258273.354144334,1809100.2053782619,2816472.435074308,9536551.422156906,1981655.4214341335,2785087.3011474446
deep-0146,7227814.228556114,4373402.256062632,8255711.275491214,5774780.206329869,5881008.149877415,8995524.718668057
deep-0152,3314140.31091519,1085496.9244642009,2018548.3703490235,1521449.4429206562,1295303.6199851807,1416668.7101874587
deep-0153,2362768.990252653,1008831.7103972781,1583109.0037096192,1301297.5627861146,1091590.8776823424,1270241.6066312755
deep-0161,3814935.456887782,4284458.138846332,5081744.845267405,10742461.430422893,3754465.866493723,6523433.184893632
deep-0162,1319434.8520058244,1959129.7348364457,1193125.8725814116,1423157.8820177552,957758.8956714486,1297811.8899172551
deep-0165,2231408.4176270766,3781391.705622045,2714381.615239921,9829503.035346193,2079140.8073607455,2930630.0627378747
deep-0166,3234245.1854059086,1548452.1914040963,2325596.975618471,6829124.055846954,1736674.7499604477,2294927.620391222
deep-0169,1812383.2336554087,2332664.892279489,2397380.459807692,5168780.922131816,1554332.2720093518,3916376.093608619
deep-0175,1923957.3025134963,2332935.00465273,2161900.0244053164,2991761.5502653606,1444677.2962698934,1064556.8530847128
deep-0176,1809227.0256207385,2124874.925313001,1918380.1919958033,9646164.79564204,1486944.6689807985,2617719.5089408355
deep-0178,3223861.784701147,3095931.9610094363,3549660.2103359923,4082348.815114278,2535215.5284500234,3958100.614076697
deep-0182,1367173.198353888,3070505.9950444107,1593964.5918478721,9012412.526053462,1238628.5623245987,2124403.7556611192
deep-0184,4681403.681511089,4549082.960041083,4271742.7649935,5952549.814699083,3379685.0397917535,6461835.778522315
deep-0185,1706423.4424062725,3781484.888374332,2361160.460925405,6555325.629630412,1187961.2356533576,1480083.6328699896
deep-0186,2844149.7208291795,3148217.5334980497,3569278.4730617316,4825009.972187647,2540511.303022505,5905015.325416234
deep-0194,78212.22552048691,75458.24981670672,47946.6917291719,36757.3440931719,33200.17600957588,60124.07446097267
deep-0195,7010946.726534605,5019730.096031697,5114504.502367275,5858715.414967487,3410724.494429679,7250654.252216004
deep-0202,7019643.866388831,5481891.953694248,7927545.408825066,8334475.638721853,5543489.894661009,6955097.701453768
deep-0209,2525003.8002634184,3441981.0542172315,2639491.388213109,10258544.302954499,2067907.2428319105,3273639.870778685
deep-0210,1608482.2186721098,911408.6587817564,1087752.6607312819,1339823.178281067,557646.473303314,731760.7970030509
deep-0212,251212.23048261026,532292.322750337,462229.81230249675,260893.21024962224,540718.5363044842,339012.2178322854
deep-0214,2027779.3397385376,2303312.37035978,2241185.5132084554,2229739.0019299006,1805890.7783564785,1546378.1581467919
deep-0222,1391268.0209999084,2098545.186259771,1378512.8047423563,8286009.661524983,1085450.5951371326,1902597.1821767753
deep-0223,1631660.2509667329,1746647.9197418178,2079926.2425197586,3728652.2498599477,1466689.788391055,3506004.355820525
deep-0238,1026819.1749070507,742096.6491906382,981060.0088734848,3630014.9573889025,928616.5337612159,1909574.6381260809
deep-0241,251786.79045576596,449687.73534058034,450285.03665860224,272144.34483898134,518120.3789328132,309743.29009890504
deep-0242,1682587.6662590404,1060380.929524021,1916018.931297853,2594361.7176868212,1338912.10260571,3460095.992544175
deep-0246,119768.02946813502,4258.44809637522,210092.03947804734,211816.42534900684,142379.92268297664,41469.87049110624
deep-0251,4089079.1874315613,3165975.2271276694,5104401.977402181,6434367.595178417,3987938.888052682,6811526.190981143
deep-0255,1327331.0016638401,1646003.769954248,1646817.8662660283,2843671.7373456676,1412625.8596400123,1639602.3871699655
deep-0258,3004109.684359261,3007571.1352282474,3660628.380549242,4324542.010585635,2583605.7763503324,4818189.220072611
deep-0263,1757094.1204418363,2252895.7580438023,1898911.4880301855,3619600.695529387,1550170.997275597,2261693.94811408
deep-0267,2002351.9124969018,3165285.957218811,1867248.1826199032,858163.8638020584,1578399.339270385,1140384.323968903
deep-0269,4813407.1373076765,4066090.859734899,5065266.31079484,2970086.0050527877,3473747.4986915914,3884724.9256494283
deep-0274,3840270.3764504176,2434911.559567186,4679830.485804048,6952176.555053651,3644299.322773947,7432384.526998476
deep-0275,3218370.8568513496,1928923.3175873596,3053042.16955187,3087237.9351322167,1499921.0536003325,1646849.7314438708
deep-0283,1850628.87295231,2448906.994696838,2677170.3847520775,3796656.229425956,2009052.066580265,3489891.1144503527
deep-0285,6142280.556293961,6600181.57315505,5943288.740653381,6034784.028352798,4501425.667545249,6667691.476273263
deep-0286,2290309.9308625,2042491.6018254126,2282757.1943872194,1187951.2013962348,1801269.2316040671,1251254.1425807169
deep-0291,4866353.748413314,4298259.717860581,6431213.212829132,9874494.903261181,4534526.693552358,10895886.725785954
deep-0293,2653953.137134146,1127760.9850416724,2060218.4567592873,1763543.5852742698,1493587.0835808006,1864450.3732223192
deep-0296,2072347.197779732,6197042.651994588,2823151.8673845143,12471611.139140507,2367215.881142414,2768075.7374886004
deep-0300,2678848.5672022346,5089742.699952831,3678441.424500854,6141173.792093077,2758318.8113017613,4634320.540772285
deep-0303,5173114.587857285,4268774.658209349,5310197.508130845,2815152.7250593887,3715425.680190597,2712377.1753621046
deep-0305,66.52078774617068,64.4803073967339,259.5429486130781,67.18303571428571,267.9244935818483,67.04558404558405
deep-0307,3406403.8551085233,1498773.6049356495,2958206.568976361,1939885.2594806505,922187.9508366633,1279364.7093511047
deep-0314,3732939.691666325,7017721.66775686,4373548.684358376,9417928.450082704,2474824.643719188,2535526.5602918556
deep-0321,2141394.3598448527,1827058.1172568952,2221188.512328478,1950497.1421410744,1156683.1960542744,1133665.9010228512
deep-0323,1566681.5248790996,1209634.8572270658,1620029.4080735168,1648175.947473561,756786.9204343985,892985.5035192672
deep-0325,1810551.0604053778,376234.3998213642,527608.7038670551,455518.88238939544,261395.02686441544,414540.0307900643
deep-0327,1321145.3263166214,1588207.4508036445,1349416.1343264373,2967138.5822573025,1061522.5814971477,1730591.9099781641
deep-0330,1639249.5444051498,1573022.7387789986,2171895.483745864,12739349.748811627,1643897.3816674114,2709437.609797867
deep-0335,1150745.3691633665,221071.84748516217,221939.57741364065,263437.62622324075,125099.80942998937,246559.09021447363
deep-0338,1957214.6232226118,4123027.4608588037,2363348.6565444106,10875497.424703972,1814565.9867046655,2786132.357621405
deep-0340,1233644.2982686583,1733898.2100082284,1401129.299000706,4710879.828875817,1187528.3683592086,2026654.4721242168
deep-0343,596344.4662324961,2682321.6247700183,556008.2670099525,307640.5088521241,499439.53144318453,550542.8117629614
deep-0347,1696866.7164469713,3515721.4621666074,2645741.7846166315,7927336.897255491,1440801.2688012307,3416678.3270719806
deep-0349,1809898.687398075,3631754.065566146,1722717.5746488583,7422706.841452843,1382828.534840685,1917401.6125864885
deep-0351,4707634.023236768,3573886.7535195844,5031422.897917476,4644932.821236342,3667786.48900767,5718650.760801983
deep-0353,2356065.9956857087,922063.9979182377,1713374.762405612,1400069.4553284906,1128429.4341758364,1432919.8836271446
deep-0355,2606238.4031439554,1441647.9135298503,1790050.2815767594,1264451.8993403667,1198485.1355666644,1454485.7743606162
deep-0356,1168833.7270366163,2694157.252487162,2053644.1469526568,6674591.670265265,934828.9640024352,2404028.7444247105
deep-0358,2070687.7412485809,2184478.095814142,3160702.688913229,1603998.680757131,1850336.2252616072,1657022.272724644
deep-0362,3301154.001525089,1620429.7128687229,3110380.5138889034,2256320.6219321312,1724367.5256084588,1458144.1733627066
deep-0368,2396988.7950177025,2656362.3126740907,3520120.542830596,4880716.338536168,2569485.8075973135,4446124.365180678
deep-0373,1221689.8924525538,1294358.9047975375,1565157.9647833344,4405553.030221203,1381685.7932365595,1231003.2498763793
deep-0378,5552785.097482963,5410357.806780178,5180876.369195085,8055842.133857295,4004178.9720513355,7740527.2904484365
deep-0383,3035788.7328309384,1895476.8267169432,3928980.046511475,5109465.682173513,3045717.4556049136,5073295.454550017
deep-0391,1391132.9640255165,828141.0593282206,1132817.8606572135,805237.5658372949,830832.2593890759,866893.0013644252
deep-0399,2524991.18788194,3225401.6918885717,3319771.3048089985,5053490.2609699005,2206064.094166854,3975198.561829763
deep-0405,1099602.1262760262,1087418.6561262999,1325949.774214724,3538197.349279999,1097242.8562437433,1178234.7378601725
deep-0410,6154966.789914376,6756718.5921026785,6300445.911564344,3930005.902202053,4286524.617590105,4905857.053050529
deep-0416,1612286.1206483883,2931301.644136738,1851018.100529497,9879330.22637974,1437676.7361978674,2356299.353098738
deep-0421,5554025.056448024,6207186.818373372,4803807.396669974,4075937.7758356007,3511534.941332404,4931704.7598786
deep-0422,6362167.615144196,5277047.0908083515,6925031.543287462,6664585.255927065,5381488.09024817,10827616.684656363
deep-0434,2620675.9607189936,3034827.9914862225,3365648.6597257615,6920718.017493629,1964178.5113176529,4918985.7462815475
deep-0435,389150.12540252175,707830.8190321994,486239.47166875575,331773.0202912244,383801.7374809641,169165.46869920782
deep-0437,336924.5642642713,888271.2987797863,697987.1842705145,363646.808772573,796675.0014840198,493903.02049888193
deep-0438,2172388.743294551,492105.759183728,751698.2511105814,566343.3517160411,355645.3064270341,510489.2191457416
deep-0439,1618869.1301573059,2629210.649040248,2356415.8202554,5284139.993638157,1245242.0234610515,1441550.5327015775
deep-0441,2772817.755445117,1026200.3108011449,1569494.9906195742,1285338.232412397,979367.3708235588,1257541.590960761
deep-0457,3924406.755475229,1078893.513856792,2313330.08313877,3224052.7666694457,1451737.3472811389,1805402.3618958103
deep-0461,1576599.2551326454,2069797.5876419686,1812255.6367359909,3218999.2592778895,1559573.1162096828,1864286.238312617
deep-0466,1384675.0528071886,2649637.2502099397,1560644.9116179796,8399475.599883795,1208229.927356255,2041104.7287368998
deep-0471,959117.963821366,1039771.0876590676,1404088.9834783145,10360288.48413258,1037531.3585388032,2079947.5676059693
deep-0478,6079300.081380796,8245150.867420682,6568636.104459225,12021108.9762405,3754391.2398679834,4847962.919511799
deep-0480,1807666.9418118226,2446142.490743062,2577956.989838133,4166498.2490081857,1851631.5117393534,3383340.36403607
deep-0483,1336200.9361866792,1052863.5746680275,1790178.1872328618,3526514.445242514,1044951.4295206075,3254985.1026715674
deep-0489,1510673.0704384837,1493197.5468378963,1908311.0698028244,3033763.031175515,1287011.5445118812,1141153.3488905549
deep-0490,3503950.3052783604,5898813.678647593,3646946.7553221076,13604566.447398292,2803263.3153211474,4233560.403107341
deep-0496,1835969.9942040832,4775285.068285664,1445367.4915126248,753858.1158359931,1170990.0837510948,1456983.190706321
deep-0505,2573292.6258175885,3778807.6676364373,3410574.0776995127,7937770.428746427,2318944.412908551,2528676.8789959815
deep-0509,3204576.6274865167,3909959.52682877,4187051.626363254,6458959.063143625,3210304.8534292416,5072580.68105965
deep-0518,2268983.380501429,900819.1417598766,2371629.81369522,4656644.428857232,2021956.2484149067,4215157.657218042
deep-0523,1820813.4424778807,2705402.5694980887,1917652.143181591,9884913.511068616,1416675.474304861,2302919.573175534
deep-0527,4628727.162487886,4503158.619880235,5074633.827533855,5341852.844931758,3893624.4043425205,7032222.971691274
deep-0528,4810973.662807755,4153657.8080482115,5027543.698424996,6780270.709341869,3876676.0803099317,6376752.771289237
deep-0535,2000061.9012499773,3505374.9516580645,2340201.506917189,16209001.420100968,1851514.188861787,3458982.177908793
deep-0539,7794258.73764893,6612688.394181096,8015140.488625875,8427909.175787123,5289382.690864707,6721012.540265825
deep-0545,1884493.9977489845,4627314.197934725,2284801.724325536,3743513.3270392236,2107326.3630802836,1556750.0357996386
deep-0549,112695.47308006891,355661.5064977196,186584.45025065428,134964.44862996682,126450.26272630185,152881.1224743921
deep-0553,2539835.766476969,3137580.2694626544,3208393.9391955584,6126689.666722367,1716789.5745051054,3594774.698559291
deep-0555,2809214.117277946,1447476.9619118536,1840935.8168351462,1545712.8351515052,1174017.9398601947,1350656.859940681
deep-0560,7512988.882430486,5695578.518117009,10171790.13632186,9843131.652460162,7740686.063649694,13409942.570532616
deep-0562,3945134.187480806,6762407.273297315,5375461.801257425,11853421.926504835,3187948.870204631,3783539.6556277834
deep-0564,4033444.6715945057,4010527.133264406,3998286.7182745743,3910626.535425691,2925531.0863237283,4631620.674010399
deep-0570,344965.08681902994,550956.2346714316,377049.27767528186,121345.84631508759,293264.4958899856,140032.13942226127
deep-0585,501647.96536944085,517931.22821203555,485086.98529519566,206356.61116047783,398705.08888441423,263309.35103490367
deep-0586,2667692.5823241724,2845401.6827914766,3408271.1831295374,4107165.402381159,2716362.581565519,3768117.9114624257
deep-0590,2088329.362729924,2371297.9710823596,3047861.8946897555,4420406.722460697,2276282.57365664,3819628.627794911
deep-0592,3487542.8804434855,4321510.984981133,4708099.464024194,4722393.394718533,3950475.065765188,5008746.479684367
deep-0593,3159790.694672697,3041888.5136587066,3930454.180462092,5152174.181052498,2708411.5624355194,6738097.874016706
deep-0600,3814423.048989774,308292.60596541123,589713.1456321426,2263936.8601825275,279143.7139157014,584322.6218345031
deep-0605,99183.9544090086,35335.13408633186,33419.74222036236,220253.10467041077,32907.00082689222,50738.367918657714
deep-0608,7105851.6451516915,8151578.636847157,6927490.715111451,4189454.2242044075,4407610.236770694,6655819.078414316
deep-0609,2356169.729927695,4241760.353063212,1268001.8420663187,546318.7318844269,963001.804967319,731240.6856570555
deep-0614,1258436.1923050634,1577068.5071896901,1246104.6263332004,2811072.100675426,1008747.3267934632,1767021.3798485936
deep-0617,2148834.310017189,2523224.637458358,2196299.306082587,3422888.501434161,1634718.6451318713,1755047.4470937354
